dataset_name,recommended_dim,class_count,baseline_quality,mean_centroid_cosine_distance,intrinsic_dim_twonn,intrinsic_dim_pca_95,task_family,true_intrinsic_dim,is_synthetic,language,linear_sep_metric,linear_sep_value,linear_sep_threshold
SciCite,32,3.0,0.7129974285662909,0.108983282847509,11.672196489888996,152.0,single,,0,en,kappa_vs_majority,0.3231071428450257,0.1
SciTail,16,2.0,0.6630103157049265,0.0404887439618508,4.990008956008925,141.0,single,,0,en,kappa_vs_majority,0.1084928986902818,0.1
MTOP Domain,72,11.0,0.9420108731485975,0.6719104645096324,10.191975400929431,137.0,single,,0,en,kappa_vs_majority,0.931616595694101,0.1
Hyperpartisan news,4,2.0,0.6914728682170542,0.0519966624895829,4.804525567208384,135.0,single,,0,en,kappa_vs_majority,0.1638655462184872,0.1
Reuters-21578,40,8.0,0.9420078761396128,0.6472271599475276,9.712432812512844,133.0,single,,0,en,kappa_vs_majority,0.8784232204184752,0.1
OHSUMED,72,13.0,0.790994587401773,0.5103466338873316,15.095703199437054,144.0,single,,0,en,kappa_vs_majority,0.1867493673220738,0.1
SILICONE DailyDialog acts,48,4.0,0.6269952587317856,0.144200690779281,3.814894498805354,149.0,single,,0,en,kappa_vs_majority,0.3546630773906326,0.1
SILICONE SEMAINE,8,3.0,0.6709853566140991,0.184887605834766,1.4797091550340444,124.0,single,,0,en,kappa_vs_majority,0.2924416271270947,0.1
German sentiment,4,3.0,0.60601319882757,0.0815573867651552,20.7188303825277,140.0,single,,0,de,kappa_vs_majority,0.4066463837764608,0.1
Tweet sentiment Arabic,16,3.0,0.5209880539221857,0.0516523871005579,9.668598561945538,116.0,single,,0,ar,kappa_vs_majority,0.2785964667502797,0.1
Tweet sentiment French,56,3.0,0.6369723016429604,0.0641647166952514,9.19800424303095,132.0,single,,0,fr,kappa_vs_majority,0.4532715386189162,0.1
Tweet sentiment Italian,8,3.0,0.5680111248973524,0.0833555634986523,19.239095510676083,134.0,single,,0,it,kappa_vs_majority,0.3494143447249283,0.1
Tweet sentiment Portuguese,16,3.0,0.5380140619661578,0.053847159394321,15.643490760122395,130.0,single,,0,pt,kappa_vs_majority,0.3042380451297556,0.1
Tweet sentiment Spanish,2,3.0,0.5260350170529812,0.0766356478880633,23.933864688288843,139.0,single,,0,es,kappa_vs_majority,0.286197314838827,0.1
SweRec reviews,2,2.0,0.9180018341694988,0.3932086160555117,3.1911997018484777,126.0,single,,0,sv,kappa_vs_majority,0.835675018375749,0.1
PolEmo2 IN,8,4.0,0.6799584015152877,0.2375543714904061,22.467876945952153,120.0,single,,0,pl,kappa_vs_majority,0.4812940056973869,0.1
Vietnamese student feedback,2,3.0,0.8539947132761503,0.2071088210657925,11.114824529243483,94.0,single,,0,vi,kappa_vs_majority,0.7202963855864948,0.1
RuReviews,8,3.0,0.6250172328016639,0.1829369101352828,8.590392180305068,123.0,single,,0,ru,kappa_vs_majority,0.2559865730191744,0.1
